x,y,Ez
-100+0j,2+0j,-0.469476241727498-0.851493303017428j
-99.98+0j,2+0j,-0.458260664850651-0.856088865980503j
-99.96+0j,2+0j,-0.4498847723647-0.864851397868278j
-99.94+0j,2+0j,-0.445798857855339-0.876265075216687j
-99.92+0j,2+0j,-0.446710977971297-0.888354904183329j
-99.9+0j,2+0j,-0.452464252391217-0.89902846835597j
-99.88+0j,2+0j,-0.462063845738624-0.906438068143592j
-99.86+0j,2+0j,-0.4738489909445-0.909300575485143j
-99.84+0j,2+0j,-0.485780308389429-0.907119633990744j
-99.82+0j,2+0j,-0.495792713505234-0.900271726050293j
-99.8+0j,2+0j,-0.502152843421996-0.889941183178633j
-99.78+0j,2+0j,-0.503759138993442-0.877915358301729j
-99.76+0j,2+0j,-0.50033263168124-0.8662753845232j
-99.74+0j,2+0j,-0.492465391643534-0.857036024141889j
-99.72+0j,2+0j,-0.48151822327421-0.851796933900557j
-99.7+0j,2+0j,-0.469385285490101-0.851465708829241j
-99.68+0j,2+0j,-0.4581663506355-0.856100655342001j
-99.66+0j,2+0j,-0.449803410126097-0.864900530641531j
-99.64+0j,2+0j,-0.445744517161953-0.876343053512052j
-99.62+0j,2+0j,-0.446693055028048-0.888448242144583j
-99.6+0j,2+0j,-0.45248584532111-0.899121024462506j
-99.58+0j,2+0j,-0.462121219056943-0.906513836669826j
-99.56+0j,2+0j,-0.473932221792034-0.909346454370893j
-99.54+0j,2+0j,-0.485875002725567-0.907127690474565j
-99.52+0j,2+0j,-0.495882495437629-0.90024056828879j
-99.5+0j,2+0j,-0.502222187162734-0.889876200692262j
-99.48+0j,2+0j,-0.503796053698148-0.877827789710958j
-99.46+0j,2+0j,-0.500330734888126-0.866180373837187j
-99.44+0j,2+0j,-0.492425012777197-0.85695000176472j
-99.42+0j,2+0j,-0.481446346423967-0.851734775283126j
-99.4+0j,2+0j,-0.469294341403721-0.851438162128046j
-99.38+0j,2+0j,-0.458072066873753-0.856112482907576j
-99.36+0j,2+0j,-0.449722091186211-0.864949685698834j
-99.34+0j,2+0j,-0.44569022493811-0.876421034367673j
-99.32+0j,2+0j,-0.44667517719279-0.888541562621221j
-99.3+0j,2+0j,-0.452507472108825-0.899213546235689j
-99.28+0j,2+0j,-0.46217860911757-0.906589560144834j
-99.26+0j,2+0j,-0.474015449440573-0.909392285459477j
-99.24+0j,2+0j,-0.485969674611851-0.907135704818257j
-99.22+0j,2+0j,-0.495972239733072-0.900209381401209j
-99.2+0j,2+0j,-0.502291484782281-0.889811207120505j
-99.18+0j,2+0j,-0.5038329219467-0.877740229904083j
-99.16+0j,2+0j,-0.500328799460213-0.86608539013383j
-99.14+0j,2+0j,-0.492384609829023-0.856864019714435j
-99.12+0j,2+0j,-0.481374464178661-0.851672663170173j
-99.1+0j,2+0j,-0.469203411435519-0.851410659903046j
-99.08+0j,2+0j,-0.457977814137841-0.856124345123333j
-99.06+0j,2+0j,-0.449640814621077-0.864998859557778j
-99.04+0j,2+0j,-0.445635978920815-0.876499014975936j
-99.02+0j,2+0j,-0.44665734125307-0.888634863967847j
-99+0j,2+0j,-0.452529129147126-0.899306033479391j
-98.98+0j,2+0j,-0.462236012542603-0.906665239858366j
-98.96+0j,2+0j,-0.474098671326928-0.909438071305756j
-98.94+0j,2+0j,-0.486064322745287-0.907143680401555j
-98.92+0j,2+0j,-0.496061946576604-0.900178169008305j
-98.9+0j,2+0j,-0.502360737924378-0.889746205698419j
-98.88+0j,2+0j,-0.503869746559437-0.877652681169473j
-98.86+0j,2+0j,-0.500326828908091-0.865990434356848j
-98.84+0j,2+0j,-0.492344186393013-0.856778077424155j
-98.82+0j,2+0j,-0.481302579593442-0.851610595579756j
-98.8+0j,2+0j,-0.469112497571629-0.85138319909796j
-98.78+0j,2+0j,-0.457883592999008-0.856136238386082j
-98.76+0j,2+0j,-0.449559579485602-0.865048048691315j
-98.74+0j,2+0j,-0.445581776809594-0.876576992496919j
-98.72+0j,2+0j,-0.446639543949027-0.888728144524818j
-98.7+0j,2+0j,-0.452550812779663-0.899398486003798j
-98.68+0j,2+0j,-0.462293425911681-0.906740877125879j
-98.66+0j,2+0j,-0.474181884859644-0.909483814505385j
-98.64+0j,2+0j,-0.486158945813543-0.907151620653041j
-98.62+0j,2+0j,-0.496151616164672-0.900146934779235j
-98.6+0j,2+0j,-0.502429948262873-0.889681199700746j
-98.58+0j,2+0j,-0.503906530400386-0.877565145819582j
-98.56+0j,2+0j,-0.500324826792048-0.865895507454105j
-98.54+0j,2+0j,-0.49230374611037-0.856692174310613j
-98.52+0j,2+0j,-0.481230695759925-0.851548570495731j
-98.5+0j,2+0j,-0.469021601817727-0.851355776610366j
-98.48+0j,2+0j,-0.457789404027578-0.856148159042487j
-98.46+0j,2+0j,-0.449478384813414-0.865097249526964j
-98.44+0j,2+0j,-0.445527616266017-0.876654964057873j
-98.42+0j,2+0j,-0.446621781972705-0.888821402617834j
-98.4+0j,2+0j,-0.45257251930011-0.899490903625232j
-98.38+0j,2+0j,-0.46235084576136-0.906816473288847j
-98.36+0j,2+0j,-0.474265087418318-0.909529517695339j
-98.34+0j,2+0j,-0.486253542494684-0.907159529050845j
-98.32+0j,2+0j,-0.496241248705059-0.900115682432426j
-98.3+0j,2+0j,-0.502499117502056-0.889616192442615j
-98.28+0j,2+0j,-0.503943276377848-0.877477626191373j
-98.26+0j,2+0j,-0.500322796722886-0.86580061037795j
-98.24+0j,2+0j,-0.49226329267029-0.856606309774064j
-98.22+0j,2+0j,-0.481158815806955-0.851486585867359j
-98.2+0j,2+0j,-0.468930726199298-0.851328389291085j
-98.18+0j,2+0j,-0.457695247793014-0.856160103388356j
-98.16+0j,2+0j,-0.449397229616699-0.865146458446015j
-98.14+0j,2+0j,-0.445473494913232-0.876732926752439j
-98.12+0j,2+0j,-0.446604051967355-0.888914636557584j
-98.1+0j,2+0j,-0.452594244951404-0.899583286166136j
-98.08+0j,2+0j,-0.462408268584193-0.906892029714941j
-98.06+0j,2+0j,-0.474348276353107-0.909575183554466j
-98.04+0j,2+0j,-0.486348111456844-0.907167409123392j
-98.02+0j,2+0j,-0.496330844416942-0.900084415736336j
-98+0j,2+0j,-0.502568247376985-0.889551187280307j
-97.98+0j,2+0j,-0.503979987445009-0.87739012464694j
-97.96+0j,2+0j,-0.500320742362661-0.865705744085397j
-97.94+0j,2+0j,-0.492222829810778-0.856520483198199j
-97.92+0j,2+0j,-0.481086942901197-0.851424639608875j
-97.9+0j,2+0j,-0.468839872762336-0.851301033943475j
-97.88+0j,2+0j,-0.457601124864166-0.856172067667778j
-97.86+0j,2+0j,-0.449316112886-0.865195671782764j
-97.84+0j,2+0j,-0.445419410335472-0.87681087764011j
-97.82+0j,2+0j,-0.446586350526732-0.889007844639321j
-97.8+0j,2+0j,-0.452615985924959-0.899675633455018j
-97.78+0j,2+0j,-0.462465690828082-0.906967547798351j
-97.76+0j,2+0j,-0.474431448983992-0.909620814804033j
-97.74+0j,2+0j,-0.48644265135789-0.907175264450153j
-97.72+0j,2+0j,-0.496420403530891-0.900053138510281j
-97.7+0j,2+0j,-0.502637339653826-0.889486187612j
-97.68+0j,2+0j,-0.504016666600562-0.877302643574055j
-97.66+0j,2+0j,-0.500318667425483-0.86561090953841j
-97.64+0j,2+0j,-0.49218236131946-0.85643469395005j
-97.62+0j,2+0j,-0.481015080247984-0.851362729599095j
-97.6+0j,2+0j,-0.468749043573639-0.851273707322796j
-97.58+0j,2+0j,-0.457507035809399-0.856184048072349j
-97.56+0j,2+0j,-0.449235033590065-0.865244885823674j
-97.54+0j,2+0j,-0.445365360077562-0.876888813745531j
-97.52+0j,2+0j,-0.446568674194357-0.889101025142443j
-97.5+0j,2+0j,-0.452637738359744-0.899767945326263j
-97.48+0j,2+0j,-0.462523108895401-0.907043028960002j
-97.46+0j,2+0j,-0.474514602600296-0.909666414208293j
-97.44+0j,2+0j,-0.486537160845086-0.907183098662414j
-97.42+0j,2+0j,-0.496509926288832-0.900021854625309j
-97.4+0j,2+0j,-0.502706396130208-0.889421196878511j
-97.38+0j,2+0j,-0.504053316889319-0.877215185386625j
-97.36+0j,2+0j,-0.500316575678343-0.865516107704194j
-97.34+0j,2+0j,-0.492141891034405-0.856348941379886j
-97.32+0j,2+0j,-0.480943231091932-0.851300853680972j
-97.3+0j,2+0j,-0.468658240721427-0.851246406135504j
-97.28+0j,2+0j,-0.457412981196761-0.856196040740335j
-97.26+0j,2+0j,-0.449153990675665-0.86529409680654j
-97.24+0j,2+0j,-0.445311341644433-0.876966732057725j
-97.22+0j,2+0j,-0.446551019462778-0.889194176330032j
-97.2+0j,2+0j,-0.452659498341523-0.899860221620142j
-97.18+0j,2+0j,-0.462580519142257-0.907118474647857j
-97.16+0j,2+0j,-0.474597734459954-0.909711984575049j
-97.14+0j,2+0j,-0.486631638554688-0.907190915444081j
-97.12+0j,2+0j,-0.496599412944093-0.899990568005016j
-97.1+0j,2+0j,-0.50277541863555-0.889356218564127j
-97.08+0j,2+0j,-0.504089941402865-0.877127752525444j
-97.06+0j,2+0j,-0.500314470941882-0.865421339555394j
-97.04+0j,2+0j,-0.492101422845012-0.856263224821147j
-97.02+0j,2+0j,-0.480871398717763-0.851239009661178j
-97+0j,2+0j,-0.468567466315837-0.851219127038551j
-96.98+0j,2+0j,-0.457318961594223-0.856208041755801j
-96.96+0j,2+0j,-0.44907298306742-0.865343300919652j
-96.94+0j,2+0j,-0.445257352500599-0.877044629529504j
-96.92+0j,2+0j,-0.446533382772841-0.88928729644849j
-96.9+0j,2+0j,-0.452681261901941-0.899952462182662j
-96.88+0j,2+0j,-0.462637917877542-0.907193886337124j
-96.86+0j,2+0j,-0.474680841788851-0.909757528756242j
-96.84+0j,2+0j,-0.486726083111687-0.907198718532425j
-96.82+0j,2+0j,-0.496688863761351-0.899959282626466j
-96.8+0j,2+0j,-0.502844409031429-0.889291256197366j
-96.78+0j,2+0j,-0.504126543280196-0.877040347458657j
-96.76+0j,2+0j,-0.500312357091261-0.86532660607042j
-96.74+0j,2+0j,-0.492060960692887-0.856177543590362j
-96.72+0j,2+0j,-0.480799586451097-0.851177195309682j
-96.7+0j,2+0j,-0.468476722489414-0.851191866638688j
-96.68+0j,2+0j,-0.457224977569807-0.856220047147782j
-96.66+0j,2+0j,-0.448992009667618-0.865392494300925j
-96.64+0j,2+0j,-0.445203390069658-0.877122503076637j
-96.62+0j,2+0j,-0.446515760512889-0.889380383726982j
-96.6+0j,2+0j,-0.452703025017645-0.900044666865467j
-96.58+0j,2+0j,-0.462695301362186-0.907269265530571j
-96.56+0j,2+0j,-0.474763921780197-0.909803049648535j
-96.54+0j,2+0j,-0.486820493129311-0.907206511718958j
-96.52+0j,2+0j,-0.496778279016665-0.899928002521037j
-96.5+0j,2+0j,-0.502913369211909-0.889226313351872j
-96.48+0j,2+0j,-0.504163125708381-0.876952972682434j
-96.46+0j,2+0j,-0.500310238057022-0.865231908233767j
-96.44+0j,2+0j,-0.492020508572749-0.856091896987073j
-96.42+0j,2+0j,-0.480727797659166-0.851115408359289j
-96.4+0j,2+0j,-0.468386011397698-0.85116462149173j
-96.38+0j,2+0j,-0.457131029691836-0.856232052889372j
-96.36+0j,2+0j,-0.448911069356057-0.865441673036986j
-96.34+0j,2+0j,-0.44514945173376-0.877200349577192j
-96.32+0j,2+0j,-0.446498149018019-0.889473436377064j
-96.3+0j,2+0j,-0.452724783609394-0.900136835525747j
-96.28+0j,2+0j,-0.462752665808234-0.907344613758766j
-96.26+0j,2+0j,-0.47484697159382-0.909848550193911j
-96.24+0j,2+0j,-0.486914867208748-0.907214298850203j
-96.22+0j,2+0j,-0.496867658997406-0.899896731775398j
-96.2+0j,2+0j,-0.502982301103925-0.889161393647178j
-96.18+0j,2+0j,-0.504199691923231-0.87686563072157j
-96.16+0j,2+0j,-0.500308117825914-0.865137247036231j
-96.14+0j,2+0j,-0.491980070533312-0.856006284293734j
-96.12+0j,2+0j,-0.480656035751673-0.851053646505209j
-96.1+0j,2+0j,-0.468295335219729-0.851137388101832j
-96.08+0j,2+0j,-0.457037118529145-0.856244054896822j
-96.06+0j,2+0j,-0.448830160989858-0.865490833162278j
-96.04+0j,2+0j,-0.445095534833081-0.877278165870705j
-96.02+0j,2+0j,-0.446480544569259-0.889566452592151j
-96+0j,2+0j,-0.452746533541095-0.900228968026078j
-95.98+0j,2+0j,-0.462810007377956-0.907419932580355j
-95.96+0j,2+0j,-0.474929988355445-0.90989403338029j
-95.94+0j,2+0j,-0.487009203938645-0.907222083828592j
-95.92+0j,2+0j,-0.496957004002259-0.899865474532412j
-95.9+0j,2+0j,-0.503051206667617-0.88909650074964j
-95.88+0j,2+0j,-0.504236245209977-0.876778324130134j
-95.86+0j,2+0j,-0.500306000441834-0.86504262347534j
-95.84+0j,2+0j,-0.49193965067827-0.855920704775671j
-95.82+0j,2+0j,-0.480584304181598-0.850991907404605j
-95.8+0j,2+0j,-0.468204696158689-0.851110162920728j
-95.78+0j,2+0j,-0.456943244651274-0.856256049028644j
-95.76+0j,2+0j,-0.448749283403298-0.86553997065815j
-95.74+0j,2+0j,-0.445041636665302-0.877355948757442j
-95.72+0j,2+0j,-0.446462943392785-0.889659430547005j
-95.7+0j,2+0j,-0.452768270618936-0.900321064234343j
-95.68+0j,2+0j,-0.462867322182953-0.907495223582314j
-95.66+0j,2+0j,-0.475012969155987-0.909939502242126j
-95.64+0j,2+0j,-0.487103501894786-0.907229870613281j
-95.62+0j,2+0j,-0.497046314341222-0.899834234992079j
-95.6+0j,2+0j,-0.503120087896735-0.889031638373257j
-95.58+0j,2+0j,-0.504272788903989-0.876691055492152j
-95.56+0j,2+0j,-0.5003038900067-0.864948038555558j
-95.54+0j,2+0j,-0.491899253167226-0.855835157680962j
-95.52+0j,2+0j,-0.480512606446087-0.850930188676126j
-95.5+0j,2+0j,-0.46811409644246-0.851082942346966j
-95.48+0j,2+0j,-0.456849408628716-0.856268031084652j
-95.46+0j,2+0j,-0.448668435407646-0.865589081451853j
-95.44+0j,2+0j,-0.444987754485033-0.877433694997602j
-95.42+0j,2+0j,-0.446445341659064-0.889752368397255j
-95.4+0j,2+0j,-0.452789990590352-0.900413124023584j
-95.38+0j,2+0j,-0.462924606283212-0.907570488380253j
-95.36+0j,2+0j,-0.475095911050773-0.909984959861065j
-95.34+0j,2+0j,-0.487197759639579-0.907237663221068j
-95.32+0j,2+0j,-0.497135590335546-0.89980301741252j
-95.3+0j,2+0j,-0.503188946818954-0.888966810280647j
-95.28+0j,2+0j,-0.504309326391442-0.876603827422266j
-95.26+0j,2+0j,-0.500301790681364-0.864853493288696j
-95.24+0j,2+0j,-0.491858882216669-0.855749642240414j
-95.22+0j,2+0j,-0.480440946087279-0.850868487899467j
-95.2+0j,2+0j,-0.468023538324205-0.851055722725148j
-95.18+0j,2+0j,-0.456755611033145-0.856279996805019j
-95.16+0j,2+0j,-0.44858761579096-0.865638161415641j
-95.14+0j,2+0j,-0.444933885503286-0.877511401310434j
-95.12+0j,2+0j,-0.446427735482039-0.889845264278861j
-95.1+0j,2+0j,-0.452811689143068-0.900505147271847j
-95.08+0j,2+0j,-0.462981855686132-0.907645728618655j
-95.06+0j,2+0j,-0.475178811058823-0.910030409366559j
-95.04+0j,2+0j,-0.487291975721728-0.907245465727243j
-95.02+0j,2+0j,-0.49722483231768-0.89977182611101j
-95+0j,2+0j,-0.503257785496281-0.88890202028393j
-94.98+0j,2+0j,-0.504345861110061-0.876516642566429j
-94.96+0j,2+0j,-0.500299706686582-0.864758988694239j
-94.94+0j,2+0j,-0.491818542101012-0.855664157667484j
-94.92+0j,2+0j,-0.480369326693159-0.85080680261487j
-94.9+0j,2+0j,-0.467933024083024-0.851028500345127j
-94.88+0j,2+0j,-0.456661852437651-0.856291941869306j
-94.86+0j,2+0j,-0.448506823317967-0.865687206365686j
-94.84+0j,2+0j,-0.444880026886901-0.87758906437348j
-94.82+0j,2+0j,-0.44641012091828-0.889938116307616j
-94.8+0j,2+0j,-0.452833361904114-0.900597133862068j
-94.78+0j,2+0j,-0.463039066345576-0.907720945971168j
-94.76+0j,2+0j,-0.475261666162039-0.910075853936529j
-94.74+0j,2+0j,-0.487386148675652-0.90725328226655j
-94.72+0j,2+0j,-0.497314040631277-0.89974066546494j
-94.7+0j,2+0j,-0.503326606025424-0.888837272245682j
-94.68+0j,2+0j,-0.504382396549843-0.876429503602629j
-94.66+0j,2+0j,-0.500297642303934-0.864664525799669j
-94.64+0j,2+0j,-0.491778237153556-0.855578703158188j
-94.62+0j,2+0j,-0.480297751898583-0.850745130322682j
